,Actual size,Exposure,Maintenance fees,Possession,Age of building,Outdoor space,Price/sqm,Locker,Heating type:,Parking type:,Property type:,Area:,Ensuite laundry:,Parking:,Corp #:,Size:,Show all,Bed,Bath,Parking,price,Broker,MLS Number,address,amenities,included_in_maintenance_fees
0,772,SE,$708.99 ,Tbd,5 years old,Open Balcony,"$12,347 ",Owned,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,Yes,TSCC-2514,65-74 sqm, details,2,2,1,"$889,000 ","RIGHT AT HOME REALTY INC., BROKERAGE",C5421051,3605 - 159 Dundas St E,"Concierge, Gym, Outdoor Pool, Sauna, Rooftop Deck, Party Room, Visitor Parking, BBQ Permitted","Heat, Water, Air Conditioning, Common Element, Building Insurance"
0,800-899,W,$677.91 ,Immediate,42 years old,Open Balcony,"$6,774 - $7,689",Ensuite,Heat Pump,Underground,Condo Apt,Willowdale East,Yes,Yes,YCC-444,74-84 sqm, details,2,1,1,"$569,000 ","HARVEST REALTY LTD., BROKERAGE",C5418832,#405 - 30 Fashion Roseway Way,"Outdoor Pool, Security System, Visitor Parking, Pet Restriction, Bike Storage","Heat, Water, Hydro, Cable TV, Air Conditioning, Common Element, Building Insurance, Parking"
0,780,SW,$616.00 ,Tba,19 years old,Open Balcony,"$9,431 ",None,Forced Air,Underground,Condo Apt,Willowdale East,Yes,Yes,TSCC-1466,65-74 sqm, details,2+1,2,1,"$679,000 ","RE/MAX ACE REALTY INC., BROKERAGE",C5416785,506 - 30 Harrison Garden Blvd,"Concierge, Gym, Games Room, Guest Suites, Sauna, Visitor Parking, Public Transit, Party Room","Water, Common Element, Building Insurance, Parking"
0,803,SE,$606.90 ,Immediate,11 years old,Open Balcony,"$13,173 ",Owned,Forced Air,Underground,Condo Apt,Yonge and Bloor,Yes,Yes,TSCC-2117,74-84 sqm, details,2,2,1,"$988,000 ","HARVEY KALLES REAL ESTATE LTD., BROKERAGE",C5420790,702 - 110 Charles St E,"Concierge, Gym, Guest Suites, Outdoor Pool, Rooftop Deck, Visitor Parking, Beanfield Fibre Available, Meeting Room","Heat, Water, Air Conditioning, Common Element, Building Insurance"
0,1200-1399,N,$959.28 ,Tbd,44 years old,Terrace,"$4,614 - $5,404",None,Other,Underground,Condo Townhouse,Islington | City Centre West,Yes,Yes,YCC-340,111-130 sqm, details,3+1,3,1,"$599,800 ","RE/MAX WEST REALTY INC., BROKERAGE",W5420617,108 - 364 The East Mall,"Gym, Indoor Pool, Outdoor Pool, Security Guard, Visitor Parking, Meeting Room, Party Room, Sauna","Heat, Water, Hydro, Cable TV, Air Conditioning, Common Element, Building Insurance, Parking"
0,756,NW,$767.00 ,60-90 Days,4 years old,Open Balcony,"$9,971 ",None,Forced Air,Underground,Condo Apt,Casa Loma,Yes,Yes,TSCC-2715,65-74 sqm, details,2,2,NA,"$698,000 ","BAY STREET GROUP INC., BROKERAGE",C5420649,#811 - 501 St Clair Ave W,"Party Room, Outdoor Patio, Outdoor Pool, BBQ Permitted, Concierge, Guest Suites, Gym, Meeting Room","Heat, Water, Common Element, Building Insurance, Air Conditioning"
0,620,N,$502.05 ,30/60/Tba,12 years old,Juliet Balcony,"$10,845 ",Owned,Forced Air,Underground,Condo Apt,Distillery District,Yes,Yes,TSCC-2012,56-65 sqm, details,1,1,1,"$629,000 ","RE/MAX PROFESSIONALS INC., BROKERAGE",C5419918,215 - 33 Mill St,"Concierge, Gym, Outdoor Pool, Security Guard, Visitor Parking, BBQ Permitted, Media Room, Party Room","Heat, Water, Air Conditioning, Common Element, Building Insurance"
0,800-899,NW,$637.74 ,A.S.A.P.,-,Open Balcony,"$9,226 - $10,473",Common,Forced Air,Underground,Condo Apt,Mimico,Yes,Yes,TSCC-2745,74-84 sqm, details,2,2,NA,"$775,000 ","RE/MAX ROYAL PROPERTIES REALTY, BROKERAGE",W5415823,1024 - 30 Shore Breeze Dr,"Concierge, Gym, Indoor Pool, Party Room, Visitor Parking, Rooftop Deck, Jacuzzi, Media Room","Heat, Common Element, Building Insurance, Air Conditioning"
0,611,N,$472.74 ,60,15 years old,Juliet Balcony,"$10,789 ",None,Forced Air,Underground,Condo Apt,King West,Yes,No,TSCC-1804,56-65 sqm, details,1,1,0,"$615,000 ","KELLER WILLIAMS REFERRED URBAN REALTY, BROKERAGE",C5420812,210 - 23 Brant St,"Concierge, Gym, Games Room, Media Room, Party Room, Visitor Parking, BBQ Permitted, Beanfield Fibre Available","Heat, Water, Air Conditioning, Common Element, Building Insurance, Parking"
0,830,E,$658.00 ,Flexible90,11 years old,Open Balcony,"$11,286 ",Owned,Forced Air,Underground,Condo Apt,St. Lawrence,Yes,Yes,TSCC-2049,74-84 sqm, details,2,2,1,"$869,000 ","ROYAL LEPAGE TERREQUITY REALTY, BROKERAGE",C5420817,404 - 116 George St,"Bike Storage, Concierge, Gym, Party Room, Rooftop Deck, Security Guard, BBQ Permitted, Media Room","Heat, Water, Common Element, Building Insurance, Parking, Air Conditioning"
0,1000-1199,SE,$696.00 ,Imm,New,Open Balcony,"$12,387 - $14,785",Owned,Forced Air,Underground,Condo Apt,Mimico,Yes,Yes,,93-111 sqm, details,2,3,1,"$1,375,000 ","SUTTON GROUP-ADMIRAL REALTY INC., BROKERAGE",W5419890,2704 - 70 Annie Craig Blvd W,"Bike Storage, Car Wash, Concierge, Guest Suites, Gym, Indoor Pool, Party Room, Yoga Studio","Heat, Water, Common Element, Building Insurance, Air Conditioning"
0,900-999,NE,$763.77 ,30/60,49 years old,Open Balcony,"$4,300 - $4,761",Ensuite,Radiant,Underground,Condo Apt,Crescent Town,No,No,YCC-76,84-93 sqm, details,2,1,0,"$399,900 ","RIGHT AT HOME REALTY INC., BROKERAGE",E5423581,419 - 5 Massey Sq,"Bike Storage, Gym, Party Room, Security Guard, Squash Court, Visitor Parking, BBQ Permitted, Indoor Pool","Heat, Water, Hydro, Cable TV, Common Element, Building Insurance"
0,609,N,$528.73 ,60 Days,7 years old,Open Balcony,"$13,332 ",None,Heat Pump,Underground,Condo Apt,King West,Yes,Yes,TSCC-2376,56-65 sqm, details,1,1,1,"$759,900 ","PSR, BROKERAGE",C5421712,731 - 461 Adelaide St W,"BBQ Permitted, Concierge, Gym, Outdoor Pool, Party Room, Rooftop Deck, Beanfield Fibre Available, Media Room","Heat, Water, Air Conditioning, Common Element, Building Insurance, Parking"
0,1200-1399,N,$681.00 ,Tba,44 years old,Terrace,"$3,454 - $4,045",None,Baseboard,Underground,Condo Townhouse,Morningside,Yes,Yes,YCC-331,111-130 sqm, details,2+1,2,1,"$449,000 ","RE/MAX CONDOS PLUS CORPORATION, BROKERAGE",E5420874,1008 - 100 Mornelle Crt,"Security System, Indoor Pool, Rec Room, Sauna, Gym, Visitor Parking","Heat, Water, Hydro, Cable TV"
0,790,N,$556.21 ,Flexible,20 years old,Terrace,"$11,642 ",Exclusive,Forced Air,Underground,Condo Apt,The Waterfront,Yes,Yes,MTCC-1396,84-102 sqm, details,2,2,1,"$849,888 ","RE/MAX HALLMARK REALTY LTD., BROKERAGE",C5420813,911 - 550 Queens Quay W,"Concierge, Party Room, Rec Room, Rooftop Deck, Visitor Parking, Public Transit, Meeting Room, Parking Garage","Heat, Water, Hydro, Air Conditioning, Common Element, Building Insurance"
0,440,E,$324.32 ,30 Days/Tba,8 years old,Open Balcony,"$9,732 ",Owned,Forced Air,Underground,Condo Apt,Liberty Village,Yes,Yes,TSCC-2296,0-46 sqm, details,Studio,1,NA,"$399,000 ","BOSLEY REAL ESTATE LTD., BROKERAGE",C5420198,221 - 5 Hanna Ave,"Concierge, Gym, Party Room, Visitor Parking, Beanfield Fibre Available, Media Room, Parking Garage, Pet Restriction","Heat, Water, Air Conditioning, Common Element, Building Insurance"
0,520,E,$415.68 ,60~90Days/Tba,1 years old,Open Balcony,"$13,208 ",Owned,Forced Air,Underground,Condo Apt,Cabbagetown,Yes,No,TSCC-2798,46-56 sqm, details,1+1,1,0,"$634,000 ","HOMELIFE FRONTIER REALTY INC., BROKERAGE",C5420398,#3102 - 251 Jarvis St,"Concierge, Gym, Meeting Room, Outdoor Pool, Party Room, Rooftop Deck, Visitor Parking, BBQ Permitted","Common Element, Building Insurance, Air Conditioning"
0,679,N,$406.24 ,30 60 90 Days,10 years old,Open Balcony,"$9,508 ",Owned,Forced Air,Underground,Condo Apt,Willowdale East,Yes,Yes,TSCC-2160,56-65 sqm, details,1+1,1,NA,"$599,000 ","KELLER WILLIAMS ADVANTAGE REALTY, JAMES BENSON GROUP, BROKERAGE",C5420906,1718 - 100 Harrison Garden Blvd,"Concierge, Gym, Indoor Pool, Party Room, Visitor Parking, Guest Suites, Meeting Room, Parking Garage","Heat, Common Element, Building Insurance, Parking, Water"
0,2500-2749,S,"$3,247.35 ",March2022/Flex,14 years old,Terrace,"$15,667 - $17,220",Owned,Forced Air,Underground,Condo Apt,Yonge-St. Clair,Yes,2,TSCC-1886,232-255 sqm, details,2,3,NA,"$3,995,000 ","ROYAL LEPAGE SIGNATURE REALTY, BROKERAGE",C5419899,601 - 112 St Clair Ave W,"BBQ Permitted, Concierge, Gym, Party Room, Security System, Visitor Parking, Business Centre (WiFi), Meeting Room","Heat, Water, Common Element, Building Insurance, Parking"
0,600-699,E,$449.36 ,Flexible,8 years old,None,"$9,215 - $10,696",Owned,Forced Air,Underground,Condo Apt,South Riverdale | Leslieville,Yes,No,TSCC-2311,56-65 sqm, details,1,2,0,"$599,000 ","PSR, BROKERAGE",E5419362,102-Lw2 - 90 Broadview Ave,"Concierge, Party Room, Security Guard, Visitor Parking, Rooftop Deck, BBQ Permitted, Outdoor Patio, Parking Garage","Heat, Water, Air Conditioning, Common Element, Building Insurance"
0,782,N,$580.11 ,45 Days/Tbd,23 years old,None,"$10,958 ",Owned,Radiant,Owned,Condo Apt,South Riverdale | Leslieville,Yes,Yes,MTCC-1208,74-84 sqm, details,1,1,NA,"$799,900 ","ROYAL LEPAGE SIGNATURE REALTY, BROKERAGE",E5421214,205 - 245 Carlaw Ave,"Bike Storage, Party Room, Beanfield Fibre Available, Elevator, Meeting Room, Pets, Public Transit, Security System","Heat, Water, Common Element, Building Insurance, Parking"
0,667,S,$516.64 ,Flexible,0 years old,Open Balcony,"$13,548 ",Owned,Forced Air,Underground,Condo Apt,Yonge-Eglinton,Yes,No,TSCC-2851,56-65 sqm, details,2+1,2,0,"$839,999 ","SUTTON GROUP INCENTIVE REALTY INC., BROKERAGE",C5423447,2207 - 33 Helendale Ave,"Bike Storage, Concierge, Games Room, Gym, Party Room, Rooftop Deck, Public Transit, Visitor Parking","Heat, Water, Common Element, Building Insurance"
0,1027,W,$733.41 ,Immediate,31 years old,Enclosed Balcony,"$7,347 ",Owned,Heat Pump,Underground,Condo Apt,The Core,Yes,No,MTCC-932,93-111 sqm, details,1+1,2,NA,"$698,000 ","SAGE REAL ESTATE LIMITED, BROKERAGE",C5421114,1005 - 33 University Ave,"Concierge, Gym, Party Room, Rooftop Deck, Security Guard, Visitor Parking, Meeting Room, Parking Garage","Heat, Water, Hydro, Air Conditioning, Common Element, Building Insurance"
0,1200-1399,S,$558.81 ,Immediately,-,None,"$4,223 - $4,946",None,Forced Air,Underground,Condo Townhouse,West Humber | Clairville,Yes,Yes,YCC-19,111-130 sqm, details,3,2,1,"$549,000 ","RE/MAX WEST REALTY INC., BROKERAGE",W5421257,142 - 24 Litchfield Crt,"BBQ Permitted, Visitor Parking","Water, Cable TV"
0,799,W,$632.80 ,60-90 Days,15 years old,Open Balcony,"$11,878 ",Owned,Forced Air,Underground,Condo Apt,The Waterfront,Yes,Yes,TSCC-1788,65-74 sqm, details,2,2,1,"$879,000 ","RE/MAX PARADIGM REAL ESTATE, BROKERAGE",C5421269,3101 - 16 Yonge St,"Beanfield Fibre Available, Concierge, Elevator, Guest Suites, Meeting Room, Parking Garage, Party Room, Pet Restriction","Heat, Water, Hydro, Air Conditioning, Common Element, Building Insurance, Parking"
0,940,N,$664.66 ,60/90Days,5 years old,Open Balcony,"$6,895 ",Owned,Forced Air,Underground,Condo Apt,Wexford-Maryvale,Yes,Yes,TSCC-2504,84-93 sqm, details,2+1,2,NA,"$599,900 ","RE/MAX REALTRON REALTY INC., BROKERAGE",E5421628,910 - 1328 Birchmount Rd,"Gym, Indoor Pool, Party Room, Security Guard, Visitor Parking, Rooftop Deck, Jacuzzi, Concierge","Heat, Air Conditioning, Common Element, Building Insurance, Parking"
0,700-799,S,$0.00 ,Tbd,0-5 years old,Open Balcony,"$15,203 - $17,308",None,Forced Air,Underground,Condo Apt,Yorkville,Yes,Yes,TSCC,65-74 sqm, details,2,2,NA,"$1,125,000 ","STOMP REALTY INC., BROKERAGE",C5422028,1808 - 181 Bedford Rd,"Party Room, Guest Suites, Media Room, BBQ Permitted, Bike Storage, Gym, Rooftop Deck, Visitor Parking","Common Element, Building Insurance, Water"
0,1147,,,30 Days Or Tba,1 years old,,"$10,830 ",,Heat Pump,Other,NA,,,Yes,,102-139 sqm, details,2,2,NA,"$1,158,800 ","ROYAL LEPAGE PREMIUM ONE REALTY, BROKERAGE",C5421297,15 - 52 Holmes Ave,"Parking Garage, Bike Storage, Gazebo, Outdoor Patio, Rooftop Deck","Common Element, Building Insurance, Water"
0,1151,,,30 Days Or Tba,1 years old,,"$10,830 ",,Heat Pump,Other,NA,,,Yes,,102-139 sqm, details,2,2,NA,"$1,158,800 ","ROYAL LEPAGE PREMIUM ONE REALTY, BROKERAGE",C5421319,14 - 52 Holmes Ave,"Parking Garage, Bike Storage, Gazebo, Outdoor Patio, Rooftop Deck","Common Element, Building Insurance, Water"
0,928,SE,$779.92 ,30/60/Tbd,16 years old,Open Balcony,"$10,755 ",Owned,Forced Air,Underground,Condo Apt,High Park North,Yes,Yes,TSCC-1676,84-93 sqm, details,2,2,1,"$924,900 ","STOMP REALTY INC., BROKERAGE",W5422152,1705 - 70 High Park Ave,"Gym, Media Room, Party Room, Security System, Visitor Parking, Public Transit, Elevator, Meeting Room","Heat, Water, Air Conditioning, Common Element, Building Insurance, Parking"
0,1009,SW,$731.00 ,30 Days/Tba,30 years old,None,"$5,584 ",Owned,Forced Air,Underground,Condo Apt,Eglinton East,Yes,Yes,MTCC-999,93-111 sqm, details,2+1,2,1,"$524,900 ","RE/MAX HALLMARK REALTY LTD., BROKERAGE",E5421220,313 - 330 Mccowan Rd,"Games Room, Gym, Indoor Pool, Party Room, Sauna, Security Guard, Visitor Parking, Parking Garage","Heat, Water, Hydro, Air Conditioning, Common Element, Building Insurance, Parking"
0,636,W,$453.66 ,Immediate/Tba,4 years old,Open Balcony,"$11,847 ",Owned,Forced Air,Underground,Condo Apt,Regent Park,Yes,Yes,TSCC-2596,56-65 sqm, details,1+1,2,1,"$699,000 ","HARVEY KALLES REAL ESTATE LTD., BROKERAGE",C5422166,408 - 200 Sackville St,"BBQ Permitted, Concierge, Gym, Security Guard, Visitor Parking, Rooftop Deck, Public Transit, Party Room","Heat, Water, Air Conditioning, Common Element, Building Insurance, Parking"
0,1151,W,$524.48 ,30 Days Or Tba,1 years old,Terrace,"$10,830 ",Owned,Heat Pump,Underground,Condo Townhouse,Willowdale East,Yes,Yes,TSCC-2760,111-130 sqm, details,2,2,1,"$1,158,800 ","ROYAL LEPAGE PREMIUM ONE REALTY, BROKERAGE",C5421305,14 - 52 Holmes Ave,"Bike Storage, Visitor Parking, Parking Garage, Gazebo, Outdoor Patio, Rooftop Deck","Water, Common Element, Building Insurance"
0,1147,W,$524.48 ,30 Days Or Tba,1 years old,Terrace,"$10,830 ",Owned,Heat Pump,Underground,Condo Townhouse,Willowdale East,Yes,Yes,TSCC-2760,111-130 sqm, details,2,2,1,"$1,158,800 ","ROYAL LEPAGE PREMIUM ONE REALTY, BROKERAGE",C5421302,15 - 52 Holmes Ave,"Bike Storage, Visitor Parking, Parking Garage, Gazebo, Outdoor Patio, Rooftop Deck","Water, Common Element, Building Insurance"
0,1987,SW,"$1,610.25 ",Immediate/Tba,1 years old,Open Balcony,"$16,211 ",Owned,Forced Air,Underground,Condo Apt,Mount Pleasant West,Yes,Yes,TSCC-2788,186-209 sqm, details,2+1,3,1,"$2,999,000 ","HOMELIFE/REALTY ONE LTD., BROKERAGE",C5423930,3403 - 5 Soudan Ave,"Concierge, Gym, Guest Suites, Outdoor Pool, Party Room, Rooftop Deck, Public Transit, Visitor Parking","Common Element, Building Insurance"
0,701,S,$706.65 ,60-90 Days,30 years old,None,"$9,845 ",Owned,Forced Air,Underground,Condo Apt,Yorkville,Yes,No,MTCC-976,56-65 sqm, details,1+1,1,NA,"$639,900 ","RE/MAX HALLMARK REALTY LTD., BROKERAGE",C5422110,702 - 40 Scollard St,"Concierge, Gym, Party Room, Sauna, Squash Court, Parking Garage, Pet Restriction, Security Guard","Heat, Water, Hydro, Common Element, Building Insurance, Parking, Air Conditioning"
0,794,SE,$786.00 ,Immed/Tba,17 years old,Open Balcony,"$10,068 ",Owned,Forced Air,Underground,Condo Apt,Willowdale East,Yes,2,TSCC-1582,65-74 sqm, details,1+1,1,2,"$745,000 ","LANDPOWER REAL ESTATE LTD., BROKERAGE",C5421938,803 - 21 Hillcrest Ave,"Concierge, Gym, Indoor Pool, Rec Room, Sauna, Security System, Public Transit, Party Room","Heat, Water, Air Conditioning, Common Element, Building Insurance, Parking"
0,1319,NE,"$1,247.60 ",Tba,29 years old,None,"$8,772 ",Owned,Forced Air,Underground,Comm Element Condo,High Park-Swansea,Yes,2,MTCC-1029,111-130 sqm, details,2,2,NA,"$1,079,000 ","ROYAL LEPAGE ESTATE REALTY, BROKERAGE",W5421687,713 - 1 Ripley Ave,"Gym, Indoor Pool, Party Room, Sauna, Squash Court, Visitor Parking, Parking Garage, Pet Restriction","Heat, Water, Hydro, Air Conditioning, Common Element, Building Insurance, Parking"
0,540,N,$306.55 ,90 Days,12 years old,Open Balcony,"$10,980 ",None,Forced Air,NA,Condo Apt,CityPlace,Yes,No,TSCC-2016,46-56 sqm, details,1,1,0,"$549,000 ","HOMELIFE LANDMARK REALTY INC., BROKERAGE",C5421377,1901 - 25 Telegram Mews,"BBQ Permitted, Beanfield Fibre Available, Concierge, Guest Suites, Meeting Room, Parking Garage, Party Room, Pet Restriction","Heat, Water, Air Conditioning, Common Element, Building Insurance, Parking"
0,820,S,$635.10 ,Tba,1 years old,Terrace,"$15,789 ",None,Forced Air,Underground,Condo Apt,Grange Park,Yes,Yes,TSCC-2770,74-84 sqm, details,2,2,NA,"$1,200,000 ","RE/MAX REALTY ONE INC., BROKERAGE",C5421367,3908 - 488 University Ave,"Bike Storage, Gym, Games Room, Indoor Pool, Party Room, Concierge, Outdoor Patio, Meeting Room","Common Element, Building Insurance, Water, Air Conditioning, Heat"
0,730,SW,$556.51 ,Tba,3 years old,Open Balcony,"$10,293 ",Exclusive,Forced Air,Underground,Condo Apt,Mimico,No,Yes,TSCC-2671,65-74 sqm, details,2,2,1,"$699,900 ","IPRO REALTY LTD., BROKERAGE",W5422425,3004 - 10 Park Lawn Rd,"Pets, Rooftop Deck, Party Room, Business Centre (WiFi), Car Wash, Guest Suites, Meeting Room, Rec Room","Heat, Water, Air Conditioning, Common Element, Building Insurance, Parking"
0,973,SE,$634.95 ,Tba,16 years old,Open Balcony,"$8,544 ",None,Forced Air,Underground,Condo Apt,Stonegate-Queensway,Yes,Yes,TSCC-1704,84-93 sqm, details,2,2,NA,"$769,000 ","MAC REAL ESTATE SERVICES INC., BROKERAGE",W5422379,510 - 245 Dalesford Rd,"BBQ Permitted, Gym, Party Room, Rooftop Deck, Visitor Parking, Public Transit, Elevator, Meeting Room","Water, Common Element, Building Insurance, Parking"
0,590,E,$354.38 ,60 Days,12 years old,Open Balcony,"$11,364 ",Owned,Forced Air,Underground,Condo Apt,The Waterfront,Yes,No,TSCC-2030,56-65 sqm, details,1,1,NA,"$625,000 ","IPRO REALTY LTD., BROKERAGE",C5421301,1306 - 18 Harbour St,"Concierge, Gym, Indoor Pool, Squash Court, Tennis Court, Basketball Court, BBQ Permitted, Beanfield Fibre Available","Heat, Water, Air Conditioning, Common Element, Building Insurance, Parking"
0,609,E,$562.11 ,Tbd,1 years old,Open Balcony,"$11,930 ",Owned,Forced Air,Underground,Condo Apt,King West,Yes,No,TSCC-2764,56-65 sqm, details,1,1,0,"$680,000 ","ZOLO REALTY, BROKERAGE",C5422448,903 - 501 Adelaide St W,"Concierge, Gym, Media Room, Party Room, Rec Room, Rooftop Deck, Business Centre (WiFi), Meeting Room","Common Element, Building Insurance"
0,688,NW,$444.67 ,30-60,0 years old,Open Balcony,"$11,544 ",None,Forced Air,NA,Condo Apt,The Waterfront,Yes,No,TSCC-2848,56-65 sqm, details,1+1,1,NA,"$738,800 ","RE/MAX REALTY ENTERPRISES INC., BROKERAGE",C5421610,1006 - 17 Bathurst St,"Concierge, Gym, Guest Suites, Party Room, Visitor Parking, Media Room, Outdoor Patio, Sauna","Heat, Water, Common Element, Building Insurance"
0,846,N,$921.60 ,30/Tba,21 years old,Open Balcony,"$10,114 ",Owned,Forced Air,Underground,Condo Apt,Mount Pleasant West,Yes,Yes,MTCC-1311,74-84 sqm, details,2,1,1,"$799,000 ","SLAVENS & ASSOCIATES REAL ESTATE INC., BROKERAGE",C5421283,305 - 35 Merton St,"Concierge, Gym, Party Room, Sauna, Security System, Visitor Parking, Public Transit, Parking Garage","Heat, Water, Hydro, Air Conditioning, Common Element, Building Insurance"
0,554,NW,$325.92 ,60/90/Tbd,2 years old,Open Balcony,"$13,449 ",None,Forced Air,NA,Condo Apt,King West,Yes,No,TSCC-2700,46-56 sqm, details,1,1,0,"$685,900 ","ROYAL LEPAGE SIGNATURE REALTY, BROKERAGE",C5421075,2606 - 87 Peter St,"Concierge, Guest Suites, Party Room, Rooftop Deck, Visitor Parking, Public Transit, Elevator, Jacuzzi","Heat, Water, Air Conditioning, Common Element, Building Insurance"
0,1453,SE,"$1,004.65 ",Immed/Tba,25 years old,None,"$8,430 ",Owned,Forced Air,Underground,Condo Apt,Willowdale East,Yes,Yes,MTCC-1132,130-149 sqm, details,3+1,2,1,"$1,138,000 ","RE/MAX REALTRON REALTY INC., BROKERAGE",C5422291,512 - 88 Grandview Way,"Gym, Rec Room, Sauna, Security Guard, Security System, Visitor Parking, Public Transit, Parking Garage","Water, Common Element, Building Insurance, Parking"
